NTA_large,NTA_small,Shape_Area_ftsq
Hillcrest/Fresh Meadows,Jamaica Estates-Holliswood,42789975.85
East New York/Starrett City,Cypress Hills-City Line,27609750.63
Mott Haven/Hunts Point,Mott Haven-Port Morris,41898533.76
North Crown Heights/Prospect Heights,Crown Heights North,51619074.70
Rego Park/Forest Hills,Forest Hills,57827751.66
South Ozone Park/Howard Beach,South Ozone Park,82461393.53
Elmhurst/Corona,Elmhurst,32675347.57
North Shore,Grymes Hill-Clifton-Fox Hills,37752553.38
Bensonhurst,Bensonhurst West,46670569.51
Flushing/Whitestone,Flushing,37865073.07
Williamsbridge/Baychester,Woodlawn-Wakefield,39738786.39
Flatbush,Flatbush,45254807.50
North Shore,Port Richmond,36422143.64
East Flatbush,East Flatbush-Farragut,34360864.27
Borough Park,Borough Park,54005019.05
Upper East Side,Lenox Hill-Roosevelt Island,21508615.76
Bayside/Little Neck,Ft. Totten-Bay Terrace-Clearview,46292591.44
Sheepshead Bay/Gravesend,Gravesend,31341950.28
Mid-Island,Grasmere-Arrochar-Ft. Wadsworth,40925777.49
Middle Village/Ridgewood,Ridgewood,50495176.29
Flatlands/Canarsie,Flatlands,54341776.20
Bushwick,Bushwick South,40169452.36
Sunnyside/Woodside,Maspeth,35633161.00
Middle Village/Ridgewood,Glendale,30016735.81
North Shore,Westerleigh,63253932.17
Queens Village,Queens Village,69533432.82
Mid-Island,Old Town-Dongan Hills-South Beach,67009381.27
Bayside/Little Neck,Oakland Gardens,51009679.34
Middle Village/Ridgewood,Middle Village,57684905.43
Pelham Parkway,Van Nest-Morris Park-Westchester Square,36302379.26
Bayside/Little Neck,Bayside-Bayside Hills,80798589.95
Jamaica,Jamaica,47308036.55
Flatlands/Canarsie,Canarsie,82098856.61
Greenwich Village/Financial District,Battery Park City-Lower Manhattan,19014298.90
South Shore,Oakwood-Oakwood Beach,55961883.75
Bay Ridge,Bay Ridge,67181046.79
Mott Haven/Hunts Point,Hunts Point,49729963.23
Queens Village,Springfield Gardens South-Brookville,43288489.65
Jamaica,St. Albans,77412748.11
Chelsea/Clinton/Midtown,Hudson Yards-Chelsea-Flatiron-Union Square,37068381.79
Bayside/Little Neck,Douglas Manor-Douglaston-Little Neck,68394169.93
Williamsburg/Greenpoint,East Williamsburg,39132793.82
Coney Island,Seagate-Coney Island,38782030.92
North Shore,Stapleton-Rosebank,46432646.33
Williamsbridge/Baychester,Eastchester-Edenwald-Baychester,40256794.25
Park Slope/Carroll Gardens,Carroll Gardens-Columbia Street-Red Hook,44601379.23
North Shore,West New Brighton-New Brighton-St. George,56030445.13
South Shore,Annadale-Huguenot-Prince's Bay-Eltingville,141057788.40
Mid-Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,184881509.10
Sunset Park,Sunset Park West,49990015.98
East New York/Starrett City,East New York,117025692.30
Queens Village,Airport,228199205.62
Rockaways,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,99436037.04
South Shore,Charleston-Richmond Valley-Tottenville,145674612.03
Flushing/Whitestone,College Point,50553980.64
Rockaways,Far Rockaway-Bayswater,54160419.88
Flatlands/Canarsie,Georgetown-Marine Park-Bergen Beach-Mill Basin,69463730.98
South Shore,Great Kills,89615894.75
Rockaways,Hammels-Arverne-Edgemere,61894959.51
Sunnyside/Woodside,Hunters Point-Sunnyside-West Maspeth,102421815.21
South Ozone Park/Howard Beach,Lindenwood-Howard Beach,64558946.53
Washington Heights/Inwood,Marble Hill-Inwood,17732688.67
North Shore,Mariner's Harbor-Arlington-Port Ivory-Graniteville,89023935.74
Mid-Island,New Springville-Bloomfield-Travis,327768572.86
Morrisania/Belmont,park-cemetery-etc-Bronx,220841105.29
North Crown Heights/Prospect Heights,park-cemetery-etc-Brooklyn,228839409.84
East Harlem,park-cemetery-etc-Manhattan,1543352.45
Sunnyside/Woodside,park-cemetery-etc-Queens,311688895.04
Throgs Neck/Co-op City,Pelham Bay-Country Club-City Island,40134533.27
Queens Village,Rosedale,61569261.15
Throgs Neck/Co-op City,Schuylerville-Throgs Neck-Edgewater Park,88439964.04
Sheepshead Bay/Gravesend,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,63341499.77
Soundview/Parkchester,Soundview-Castle Hill-Clason Point-Harding Park,51983797.50
Stuyvesant Town/Turtle Bay,Steinway,57724460.86
Flushing/Whitestone,Whitestone,69050705.91
