NTA_large,NTA_small,Shape_Leng,Shape_Area
Lower East Side/Chinatown,Lower East Side,25466.69137,23297284.6
Lower East Side/Chinatown,Madison,26237.25786,27379162.08
Morningside Heights/Hamilton Heights,Manhattanville,17040.68541,10647077.53
Washington Heights/Inwood,Marble Hill-Inwood,,
North Shore,Mariner's Harbor-Arlington-Port Ivory-Graniteville,,
Sunnyside/Woodside,Maspeth,41265.6433,35633161
Morrisania/Belmont,Melrose South-Mott Haven North,19589.19728,17271780.75
Middle Village/Ridgewood,Middle Village,42675.54848,57684905.43
Chelsea/Clinton/Midtown,Midtown-Midtown South,27032.70022,30191534.37
Flatbush,Midwood,27996.59061,35799574.39
Morningside Heights/Hamilton Heights,Morningside Heights,20746.05846,20155865.45
Morrisania/Belmont,Morrisania-Melrose,27740.84615,16891753.64
Mott Haven/Hunts Point,Mott Haven-Port Morris,35603.73328,41898533.76
University Heights/Fordham,Mount Hope,18937.24816,14716710.85
Stuyvesant Town/Turtle Bay,Murray Hill,33266.9048,52488277.85
Stuyvesant Town/Turtle Bay,Murray Hill-Kips Bay,24491.31057,14485874.77
North Shore,New Brighton-Silver Lake,30320.37497,47137243.97
Mid-Island,New Dorp-Midland Beach,34336.5209,55429451.12
Mid-Island,New Springville-Bloomfield-Travis,,
Jackson Heights,North Corona,18431.05319,18000833.56
Riverdale/Kingsbridge,North Riverdale-Fieldston-Riverdale,31851.14246,49048279.09
Greenwich Village/Financial District,North Side-South Side,28149.97995,28869768.12
Kingsbridge Heights/Moshulu,Norwood,22150.30822,15724928.32
Bayside/Little Neck,Oakland Gardens,42410.06772,51009679.34
South Shore,Oakwood-Oakwood Beach,44299.03226,55961883.75
Brownsville/Ocean Hill,Ocean Hill,22494.58209,20089914.37
Borough Park,Ocean Parkway South,21975.99732,17782095.76
Astoria,Old Astoria,19366.21702,15619597.07
Mid-Island,Old Town-Dongan Hills-South Beach,41971.58255,67009381.27
Ozone Park/Woodhaven,Ozone Park,24731.69908,25016839.19
Park Slope/Carroll Gardens,Park Slope-Gowanus,31476.80909,42509226.23
