Site,Sample Station (SS) - LOCATION DESCRIPTION,X - Coordinate,Y - Coordinate
40950,"SS - W/S 94th St, 2nd SS S/O 41st Rd , Case St, 12""",1019803,210877
41050,"SS - IFO 86-31 W/S 57th Ave, 2nd SS S/O Seabury Ave, 12""",1018708,206370
41100,"SS - IFO 94-03 S/S Alstyne Ave, BTW Junction Blvd & 94th St, 48""",1020261,209842
41150,"SS - OPP 110-08 W/S Colonial Ave, 2nd SS S/O Horace Harding Expwy, 12""",1026226,207866
41250,"SS - SW/S LIE (service Rd), 1st SS E/O 71st St, 12""",1014728,203714
41300,"SS - S/S Cypress Ave, BTW Dekalb Ave & Stockholm St, 60""",1007301,196633
41350,"SS - W/S Menahan St, 1st SS N/O Onderdonk Ave, 12""",1009308,196373
41450,"SS - OPP 18-20 W/S Decatur St, 2nd SS S/O Forest Ave, 12""",1012510,193596
41550,"SS - IFO 98-05 N/S 63rd Rd, 1st SS E/O 98th St, 12""",1023300,205981
41600,"SS - IFO 93-29 N/S Queens Blvd, BTW 62nd Dr & 62nd Ave, 72""",1021543,205810
41650,"SS - IFO 106-15 N/S Queens Blvd (service Rd), 2nd SS E/O Yellowstone Blvd, 20""",1026792,202666
41750,"SS - OPP 104-41 SW/S Ditmars Blvd, BTW 24th Rd & 25th Ave, 12""",1021435,218787
41850,"SS - IFO 67-02 W/S Bell Blvd, 1st SS S/O 67th Ave, 12""",1050755,210470
41900,"SS - W/S Fresh Meadow La, Corner N/O Booth Memorial Ave, 20""",1040557,209716
41950,"SS - IFO 170-05 N/S 45th Ave, 1st SS E/O 170th St, 12""",1040549,214712
42100,"SS - S/S Metropolitan Ave, 1st SS E/O 80th St, 48""",1019954,199151
42150,"SS - IFO 68-78 W/S 76th St, 1st N/O 69th Rd, 12""",1018772,197537
42300,"SS - S/S 48th Ave, BTW 42nd & 43rd Sts, 72""",1005648,208750
42350,"SS - IFO 41-18 W/S 39th St, 2nd SS S/O Skillman Ave, 12""",1004860,211464
42700,"SS - OPP 64-65 W/S 210th St, N/O 67th Ave, 48""",1049282,209900
42750,"SS - IFO 64-50A W/S 188th St, 2nd SS S/O 64th Ave, 20""",1043933,207580
42850,"SS - IFO 82-28 W/S Parsons Blvd, BTW Goethals Ave & Village Rd",1037347,200782
42950,"SS - IFO 80-56 W/S 193rd St, 1st SS N/O 81st Ave, 12""",1046079,204823
43050,"SS - S/S Park Lane S, 1st SS W/O 102nd St, 20""",1026611,193874
43150,"SS - W/S 88th St, 2nd SS S/O 149th Ave, 12""",1026601,183111
43250,"SS - IFO 87-48 W/S 78th St, 1st SS N/O 88th Ave, 12""",1022120,190652
43550,"SS - W/S 125th St, 1st SS S/O 15th Ave, 20""",1027699,225142
43600,"SS - E/S Union St, BTW Northern Blvd & 35th Ave, 72""",1031944,218059
43650,"SS - E/S Whitestone Expy (service Rd), 2nd SS S/O Downing St, 12""",1029519,219268
43750,"SS - N/S 20th Ave, 2nd SS W/O Whitestone Expy, 12""",1031507,224135
43900,"SS - N/S 39th Ave, BTW 215th Pl & 216th St, IFO 215-37 39th Ave 24""",1048519,218452
43950,"SS - N/S 26th Ave, BTW 210th Pl & 211st St (IFO Sony Theatres), 12""",1045509,222777
44150,"SS - IFO 20-44 W/S 21st St, 2nd SS N/O 21st Ave, 20""",1008141,224609
44250,"SS - IFO 50-33 N/S Broadway, 2nd SS E/O 49th St, 12""",1009146,214314
44350,"SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""",1002964,216964
44450,"SS - IFO 223-03 N/S Manor Rd, 2nd SS W/O 229th St, 12""",1055329,206333
44550,"SS - N/S 17th Ave, 1st SS E/O 201st St, 12""",1041759,224449
44700,"SS - N/S Jewel Ave, BTW 172nd & 173rd Sts, 60""",1040470,205827
44750,"SS - IFO 67-02 W/S Parsons Blvd, 2nd SS N/O Jewel Ave, 12""",1036698,206954
44950,"SS - W/S Selfridge St, 1st SS N/O Olcott St, 12""",1023963,199221
45000,"SS - W/S Douglaston Pkwy, BTW 67th & 68th Aves, 48""",1056313,213038
45050,"SS - IFO 253-38 S/S 61st Ave, 1st SS W/O 255th St, 20""",1060423,215516
45250,"SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""",1043088,156447
45650,"SS - IFO 107-02 W/S 109th St, 1st SS S/O 107th Ave, 12""",1030884,187685
45700,"SS - E/S Cross Bay Blvd, BTW 156th Ave & Belt Pkwy, 48""",1028340,181542
45750,"SS - N/S 161st Ave, 2nd SS W/O 83rd St, 12""",1026111,177745
45850,"SS - N/S Sutter Ave, 1st SS E/O 91st St,  IFO 91-01 Sutter Ave, 12""",1026984,185810
46100,"SS - IFO 691 S/S Empire Ave, BTW Virginia St & Harris St, 12"" (branch from 48"" into regulator)",1055532,160561
46150,"SS - IFO 20-23 S/S Seagirt Blvd, 2nd SS W/O Beach 20th St, 12""",1052304,156146
46250,"SS - S/S Beach Channel Dr, 2nd SS E/O Beach 126th St, 12""",1026511,151266
46350,"SS - S/S Astoria Blvd, 1st SS W/O 110th St, 12""",1022904,216238
46450,"SS - IFO 150-03 N/S Northern Blvd, 1st SS E/O 150th St, 12""",1035671,218150
46850,"SS - IFO 63-01 NW/S Eliot Ave, BTW 63rd & 64th Sts, 12""",1012186,200020
46950,"SS - IFO 118-40 S/S Metropolitan Ave, 2nd SS E/O 118th St IFO 118-18",1030452,196724
47150,"SS - IFO 147-19 N/S 7th Ave, 2nd SS W/O 149th St, 12""",1033893,228531
47500,"SS - IFO 20-10 W/S Cross Bay Blvd, BTW W 20th & W22nd Rd, 36""",1033971,157361
47550,"SS - E/S Beach 105th St, 2nd SS N/O Shore Front Pkwy, 12""",1032730,151392
47650,"SS - N/S Rockaway Point Blvd, 2nd SS W/O Beach 199th St, 20"" (end of divided h'way)",1009613,143617
47750,"SS - IFO 80 - 29 E/S Little Neck Pkwy, 2nd SS N/O 81st Ave, 20""",1062706,209940
47850,"SS - IFO 246-35 N/S Van Zandt Ave, 1st SS W/O 248th St, 12""",1057118,217216
48600,"SS - W/S Rockaway Blvd, BTW S Conduit Ave & 157th St, 48""",1045300,182156
48700,"SS - IFO 160-05 N/S Cross Island Pkwy (service Rd), BTW 160th & 161st Sts, 20""",1039015,225892
49200,"SS - S/S Jewel Ave, BTW Main St & 141st Sts, 72""",1033124,205328
50050,"SS - N/S Hylan Blvd, 2nd SS W/O Edgewater St, 12""",966574,163485
50200,"SS - IFO 93 N/S Austin Place, BTW Victory Blvd & Ward Ave, 84""",960455,169298
50250,"SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Highland Ave, 20""",957294,165843
50300,"SS - W/S Clove Rd, 1st S/O of Genesee St, SI, 72"" (formerly site 00023)",955759,163383
50600,"SS - N/S Victory Blvd, BTW Pike St & W/O Westervelt Ave, IFO 199 Victory Blvd, 20""",961300,171090
50650,"SS - E/S York Ave, 1st SS N/O Pauw St, 8""",959871,172693
50750,"SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""",929606,132752
50850,"SS - IFO 512 W/S Arlene St,1st SS N/O Dawson Ct, 12""",938156,159775
51050,"SS - IFO 163 E/S Tysens La, 2nd SS N/O Coverly St, 12""",948843,147129
51100,"SS - IFO 1759 NW/S Hylan Blvd, BTW Seaview & Liberty Aves, 48""",958541,152868
51150,"SS - IFO 650 S/S Tysens La, 2nd SS E/O Falcon Ave, 12""",952718,144073
51250,"SS - N/S Clarke Ave, 2nd SS W/O Amber St, 8""",945963,145822
51350,"SS - W/S Clove Rd, 1st SS S/O Tyler Ave (also 1st S/O Broadway), 12""",952915,166107
51450,"SS - IFO 119 E/S Justin Ave, BTW Hooper & O'Gorman Aves, 12""",946956,141680
51550,"SS - W/S Huguenot Ave, 1st SS S/O Sinclair Ave, 12""",929600,136603
51850,"SS - IFO 67 N/S Hill St, 2nd SS W/O Tompkins Ave, 12""",961818,165626
51900,"SS - N/S Vanderbilt Ave, BTW Bay St & Tompkins Ave, 66""",963592,165738
51950,"SS - N/S Sobel Ct, 1st SS E/O Bowen St, 12""",961126,162906
52000,"SS - W/S Clove Rd, Corner of S/O Richmond Terrace, 24""",949042,171355
52050,"SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""",945148,170575
52150,"SS - N/S Goethals Rd N, BTW Domain & Cooke Sts, 12""",940112,164049
52350,"SS - OPP 133 W/S Giffords La, 1st SS N/O Dewey Ave, 12""",942056,141349
52450,"SS - OPP 526 N/S Travis Ave, 1st SS E/O Merrymount St, 12""",940364,154531
52550,"SS - IFO 43 N/S Dongan Hills Ave, 2nd SS N/O Jefferson St, 12""",956309,153545
53500,"SS - E/S Targee St, S/O Baltic Ave, IFO 935 Targee St, 48""",959018,160070
53550,"SS - IFO 130 W/S Lamport Blvd, 2nd SS S/O Kramer St, 8""",962638,156213
55450,"SS - W/S Seguine Ave, 1st SS S/O Kingsland St, 12""",929492,127613
56000,"SS - N/S Hylan Blvd, opposite Holten Ave, 24""",930020,128865
56200,"SS - IFO 855 E/S Bloomingdale Rd, BTW Wirt & Candon Aves, 20""",923133,138620
56300,"SS - E/S Richmond Ave, 1st SS S/O Vedder Ave, 20""",942510,165902
56400,"SS - IFO 328 S/S Henderson Ave, BTW Westbury & Brentwood Aves, 20""",955493,172174
57200,"SS - W/S Richmond Ave, BTW Genesee & Scranton Aves, 48""",937502,140778
57750,"SS - IFO 264 W/S Lockman Ave, 2nd SS S/O Brabant St, 12""",939334,169106
58150,"SS - IFO 3262 W/S Richmond Ave, 1st SS N/O Gurley Ave, 12""",937093,143243
58250,"SS - IFO 578 E/S Drumgoole Rd East, 2nd SS N/O Arden Ave, 12""",934244,138616
58300,"SS - IFO 4299 NW/S Hylan Blvd, BTW W""ester & Thornycroft Aves, 48""",941916,134558
58350,"SS - IFO 139 NE/S W""ester Ave, 2nd SS N/O Hylan Blvd, 8""",941317,134810
58400,"SS - IFO 408 W/S Woodrow Rd, BTW Arden Ave & Almond St, 20""",932029,139673
58600,"SS - N/S Hylan Blvd, 1st SS E/O Page Ave, 20""",920455,124432
58650,"SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""",916207,122378
58850,"SS - IFO 255 N/S Westwood Ave, 1st SS W/O Franklin Pl, 12""",951160,160296
58950,"SS - IFO 1085-15 N/S Castleton Ave, 2nd SS W/O Broadway, 12""",951286,170459
59050,"SS - IFO 989 N/S Forest Ave, 2nd SS W/O Clove Rd, 12""",950229,167908
59300,"SS - N/S Victory Blvd, 1st SS E/O Royal Oak Rd, 16""",952850,162957
59350,"SS - IFO 1824 S/S Victory Blvd, BTW Raymond Ave & Lester St, 12""",949781,162605
76150,"SS - IFO 160-20 S/S 85th Ave, BTW 160th & 161st Sts",1038620,198864
76300,"SS - N/S Hillside Ave & BTW 213 Pl & 214 St, 16""",1052705,203691
76450,"SS - OPP 139-50 N/S 85th Dr, 2nd SS E/O 139th St",1035350,197598
76550,"SS - N/S Baisley Blvd, W/O Smith St",1045511,186628
76650,"SS - IFO 87-60 W/S Chevy Chase St, 2nd S/O Henley Rd",1046472,200528
76750,"SS - IFO 160-10 S/S 89th Ave, 2nd E/O Parsons Blvd",1039534,196579
76850,"SS - IFO 111-46 W/S Farmers Blvd, 1st SS N/O Keeseville Ave",1049525,194731
76950,"SS - IFO 90-20 W/S Francis Lewis Blvd, 1st SS S/O 90th Ave",1051654,200734
77050,"SS - IFO 93-40 E/S 217th St, S/O 94th Ave (IFO - Queens Village Library)",1056499,201702
77150,"SS - N/S Linden Blvd, 1st SS W/O 230th St",1058674,191704
77350,"SS - S/S Merrick Blvd, BTW 222nd St & 223rd St, IFO 222-18 Merrick Blvd",1054559,186410
77550,"SS - IFO E/S 222nd St, 2nd S/O 91st Rd",1057716,204264
77650,"SS - OPP 110-52 E/S 207th St, 1st N/O 111th Ave",1053711,196581
77750,"SS - OPP 120-11 W/S 237th St, 1st SS S/O 120th Ave",1059645,189067
77850,"SS - N/S 90th Ave, BTW 179th & 180th Sts",1044675,198391
78050,"SS - OPP 110-38 E/S Springfield Blvd, 1st S/O 110th Rd",1056660,197103
78150,"SS - IFO 85-31 E/S 120th St, 2nd SS N/O Hillside Ave",1031161,195158
78350,"SS - N/S Hillside Ave, BTW 189th & 190th Sts",1047324,200078
78450,"SS - IFO 88-18 W/S Hollis Court Blvd, 2nd SS S/O Hillside Ave",1052428,202866
78550,"SS - W/S Springfield Blvd, 2nd SS S/O 116th Ave",1055425,193468
78650,"SS -N/S Linden Blvd, 1st SS E/O 191st St (IFO Queens Library)",1050830,191629
78850,"SS - OPP 109-36 E/S 160th St, 2nd SS N/O 110th Ave",1042080,191964
79050,"SS - S/S South Conduit Ave, 1st SS E/O 221st St",1051749,181801
79150,"SS - IFO 127-11 E/S Farmers Blvd (Keyspan), 2nd SS N/O Merrick Blvd",1050498,187418
79450,"SS - OPP 127-18 N/S Foch Blvd, 1st SS W/O 128th St",1036997,185580
79550,"SS - OPP 109-11 W/S 127th St, 2nd SS S/O 109th Ave",1035573,188405
